,-29
0,-23
1,-1
2,22
3,50
4,76
5,88
6,95
7,92
8,85
9,67
10,55
11,26
12,18
13,24
14,36
15,47
16,43
17,38
18,24
19,21
20,11
21,6
22,-11
23,-19
24,-20
25,-23
26,-48
27,-74
28,-109
29,-135
30,-153
31,-173
32,-191
33,-211
34,-221
35,-221
36,-226
37,-219
38,-219
39,-213
40,-205
41,-202
42,-195
43,-187
44,-184
45,-172
46,-171
47,-158
48,-142
49,-122
50,-111
51,-107
52,-105
53,-104
54,-105
55,-100
56,-106
57,-106
58,-110
59,-99
60,-76
61,-57
62,-40
63,-34
64,-33
65,-38
66,-36
67,-31
68,-28
69,-18
70,-21
71,-21
72,-26
73,-28
74,-28
75,-23
76,-15
77,-11
78,-21
79,-27
80,-30
81,-22
82,-19
83,-7
84,-4
85,-7
86,-20
87,-28
88,-29
89,-27
90,-31
91,-30
92,-33
93,-41
94,-42
95,-37
96,-27
97,-12
98,2
99,11
100,18
101,26
102,34
103,28
104,23
105,15
106,14
107,17
108,13
109,7
110,6
111,7
112,11
113,1
114,-21
115,-39
116,-59
117,-80
118,-85
119,-89
120,-88
121,-85
122,-81
123,-73
124,-65
125,-60
126,-47
127,-38
128,-48
129,-59
130,-69
131,-72
132,-63
133,-51
134,-51
135,-52
136,-56
137,-55
138,-67
139,-83
140,-85
141,-91
142,-90
143,-80
144,-76
145,-63
146,-53
147,-48
148,-43
149,-54
150,-47
151,-45
152,-33
153,-23
154,-8
155,-9
156,0
157,7
158,9
159,-3
160,2
161,11
162,16
163,35
164,42
165,57
166,66
167,75
168,81
169,88
170,98
171,103
172,106
173,95
174,80
175,59
176,44
177,41
178,33
179,26
180,2
181,-13
182,-26
183,-36
184,-44
185,-59
186,-51
187,-55
188,-57
189,-72
190,-85
191,-92
192,-98
193,-110
194,-117
195,-114
196,-114
197,-130
198,-136
199,-146
200,-139
201,-137
202,-138
203,-138
204,-145
205,-147
206,-158
207,-159
208,-170
209,-155
210,-150
211,-140
212,-130
213,-116
214,-109
215,-97
216,-94
217,-89
218,-83
219,-66
220,-55
221,-37
222,-24
223,-10
224,10
225,23
226,33
227,37
228,36
229,32
230,31
231,25
232,19
233,15
234,18
235,17
236,23
237,25
238,24
239,17
240,19
241,19
242,17
243,14
244,-1
245,-10
246,-23
247,-25
248,-33
249,-47
250,-54
251,-70
252,-77
253,-90
254,-89
255,-88
256,-86
257,-80
258,-75
259,-72
260,-82
261,-86
262,-90
263,-81
264,-70
265,-67
266,-75
267,-89
268,-96
269,-101
270,-103
271,-100
272,-110
273,-116
274,-127
275,-120
276,-123
277,-116
278,-123
279,-115
280,-109
281,-98
282,-94
283,-95
284,-100
285,-108
286,-105
287,-115
288,-119
289,-119
290,-119
291,-116
292,-111
293,-100
294,-95
295,-94
296,-83
297,-76
298,-69
299,-58
300,-59
301,-50
302,-51
303,-49
304,-41
305,-46
306,-46
307,-47
308,-44
309,-24
310,-19
311,-12
312,-24
313,-22
314,-29
315,-40
316,-42
317,-49
318,-54
319,-63
320,-63
321,-58
322,-53
323,-51
324,-54
325,-50
326,-45
327,-35
328,-25
329,-8
330,1
331,8
332,14
333,25
334,31
335,31
336,21
337,18
338,19
339,13
340,5
341,5
342,1
343,-4
344,-7
345,-11
346,-19
347,-23
348,-27
349,-27
350,-24
351,-27
352,-30
353,-40
354,-46
355,-38
356,-30
357,-21
358,-23
359,-17
360,-18
361,-19
362,-24
363,-29
364,-39
365,-33
366,-37
367,-49
368,-61
369,-63
370,-50
371,-48
372,-25
373,-25
374,-10
375,-10
376,-4
377,-9
378,-10
379,-8
380,-1
381,-7
382,-8
383,-11
384,-9
385,-1
386,0
387,-4
388,-4
389,-13
390,-1
391,9
392,21
393,26
394,24
395,25
396,35
397,42
398,42
399,35
400,26
401,9
402,-14
403,-34
404,-29
405,-18
406,-10
407,-1
408,-7
409,-3
410,-2
411,-1
412,-13
413,-18
414,-24
415,-21
416,-31
417,-33
418,-37
419,-30
420,-22
421,-15
422,-16
423,-9
424,-2
425,0
426,5
427,3
428,18
429,35
430,39
431,29
432,19
433,5
434,12
435,16
436,19
437,7
438,-2
439,-14
440,-14
441,-21
442,-33
443,-40
444,-43
445,-26
446,-3
447,10
448,23
449,23
450,20
451,7
452,-9
453,-23
454,-29
455,-29
456,-20
457,-11
458,-6
459,0
460,4
461,-7
462,-9
463,-9
464,-9
465,-13
466,-13
467,-30
468,-21
469,-20
470,-2
471,-6
472,-9
473,-19
474,-11
475,-11
476,0
477,-2
478,-6
479,-14
480,-12
481,-14
482,-9
483,-8
484,-2
485,-9
486,-17
487,-40
488,-45
489,-53
490,-55
491,-68
492,-86
493,-93
494,-96
495,-97
496,-108
497,-118
498,-121
499,-124
500,-121
501,-119
502,-124
503,-142
504,-139
505,-134
506,-125
507,-117
508,-120
509,-119
510,-128
511,-130
512,-138
513,-132
514,-128
515,-122
516,-120
517,-118
518,-119
519,-122
520,-130
521,-118
522,-114
523,-107
524,-97
525,-87
526,-80
527,-73
528,-74
529,-74
530,-73
531,-71
532,-65
533,-59
534,-40
535,-41
536,-32
537,-47
538,-51
539,-44
540,-53
541,-59
542,-67
543,-53
544,-51
545,-41
546,-48
547,-48
548,-44
549,-30
550,-20
551,-19
552,-23
553,-35
554,-35
555,-32
556,-36
557,-40
