,44
0,50
1,46
2,43
3,43
4,46
5,45
6,40
7,36
8,31
9,26
10,21
11,17
12,14
13,12
14,2
15,-6
16,-13
17,-18
18,-19
19,-20
20,-22
21,-27
22,-27
23,-34
24,-37
25,-42
26,-39
27,-46
28,-51
29,-59
30,-66
31,-72
32,-85
33,-94
34,-98
35,-105
36,-115
37,-126
38,-142
39,-152
40,-164
41,-171
42,-167
43,-159
44,-143
45,-120
46,-103
47,-83
48,-63
49,-49
50,-42
51,-39
52,-34
53,-28
54,-20
55,-17
56,-12
57,-18
58,-18
59,-29
60,-34
61,-45
62,-53
63,-64
64,-69
65,-68
66,-59
67,-67
68,-62
69,-55
70,-51
71,-43
72,-29
73,-19
74,0
75,6
76,21
77,28
78,40
79,45
80,53
81,60
82,64
83,69
84,67
85,63
86,62
87,62
88,67
89,66
90,61
91,51
92,41
93,33
94,22
95,14
96,3
97,-5
98,-11
99,-13
100,-22
101,-35
102,-43
103,-53
104,-59
105,-62
106,-67
107,-72
108,-74
109,-75
110,-74
111,-77
112,-77
113,-75
114,-78
115,-75
116,-81
117,-92
118,-108
119,-129
120,-150
121,-166
122,-176
123,-182
124,-183
125,-180
126,-173
127,-162
128,-152
129,-136
130,-118
131,-96
132,-56
133,-30
134,-6
135,-3
136,-6
137,-43
138,-75
139,-103
140,-103
141,-98
142,-74
143,-58
144,-31
145,-6
146,10
147,22
148,29
149,38
150,42
151,38
152,33
153,32
154,31
155,33
156,37
157,30
158,38
159,34
160,52
161,50
162,63
163,64
164,66
165,69
166,68
167,66
168,65
169,61
170,57
171,44
172,31
173,16
174,6
175,-3
176,-12
177,-17
178,-19
179,-25
180,-33
181,-43
182,-56
183,-64
184,-69
185,-70
186,-75
187,-76
188,-77
189,-73
190,-70
191,-72
192,-77
193,-82
194,-88
195,-104
196,-128
197,-152
198,-175
199,-188
200,-192
201,-184
202,-172
203,-160
204,-146
205,-136
206,-113
207,-83
208,-49
209,-20
210,1
211,26
212,37
213,39
214,31
215,17
216,1
217,-12
218,-17
219,-24
220,-15
221,-16
222,-18
223,-30
224,-38
225,-34
226,-32
227,-21
228,-18
229,-20
230,-27
231,-30
232,-30
233,-18
234,4
235,9
236,19
237,25
238,24
239,36
240,40
241,46
242,47
243,50
244,52
245,51
246,47
247,40
248,34
249,33
250,33
251,31
252,28
253,23
254,17
255,9
256,-1
257,-9
258,-16
259,-25
260,-35
261,-42
262,-49
263,-46
264,-56
265,-63
266,-73
267,-80
268,-88
269,-94
270,-100
271,-109
272,-122
273,-132
274,-141
275,-148
276,-153
277,-157
278,-157
279,-155
280,-148
281,-135
282,-124
283,-115
284,-103
285,-95
286,-78
287,-69
288,-56
289,-50
290,-43
291,-36
292,-28
293,-18
294,-6
295,-1
296,-3
297,-1
298,-1
299,-3
300,-7
301,-9
302,3
303,8
304,24
305,36
306,49
307,58
308,59
309,68
310,71
311,70
312,64
313,56
314,48
315,42
316,39
317,35
318,31
319,29
320,27
321,28
322,31
323,32
324,29
325,29
326,29
327,24
328,17
329,13
330,5
331,1
332,-6
333,-12
334,-12
335,-15
336,-16
337,-25
338,-34
339,-42
340,-41
341,-48
342,-58
343,-60
344,-63
345,-64
346,-74
347,-86
348,-100
349,-115
350,-124
351,-135
352,-141
353,-145
354,-144
355,-135
356,-126
357,-125
358,-124
359,-123
360,-110
361,-90
362,-72
363,-60
364,-49
365,-38
366,-32
367,-22
368,-16
369,-10
370,-3
371,0
372,1
373,-1
374,0
375,10
376,9
377,10
378,2
379,-2
380,-10
381,-16
382,-19
383,-17
384,-13
385,0
386,7
387,8
388,20
389,21
390,34
391,37
392,45
393,54
394,52
395,59
396,56
397,55
398,49
399,43
400,40
401,36
402,32
403,28
404,25
405,21
406,18
407,16
408,10
409,8
410,2
411,-3
412,-10
413,-21
414,-38
415,-45
416,-44
417,-43
418,-36
419,-37
420,-39
421,-40
422,-43
423,-46
424,-58
425,-76
426,-99
427,-128
428,-158
429,-181
430,-196
431,-195
432,-182
433,-162
434,-137
435,-118
436,-107
437,-99
438,-84
439,-72
440,-54
441,-40
442,-35
443,-29
444,-19
445,-9
446,5
447,19
448,30
449,26
450,15
451,2
452,-13
453,-32
454,-49
455,-64
456,-85
457,-98
458,-111
459,-105
460,-104
461,-92
462,-84
463,-61
464,-50
465,-31
466,-29
467,-27
468,-24
469,-24
470,-15
471,-9
472,-5
473,-1
474,-5
475,-7
476,-12
477,-20
478,-28
479,-39
480,-49
481,-51
482,-48
483,-46
484,-38
485,-33
486,-33
487,-39
488,-47
489,-48
490,-47
491,-48
492,-46
493,-39
494,-35
495,-40
496,-52
497,-60
498,-73
499,-93
500,-114
501,-127
502,-132
503,-130
504,-124
505,-118
506,-112
507,-106
508,-106
509,-102
510,-97
511,-88
512,-79
513,-68
514,-56
515,-38
516,-28
517,-16
518,-11
519,-9
520,-7
521,-6
522,-5
523,-1
524,-1
525,-4
526,-6
527,-6
528,-11
529,-11
530,-14
531,-13
532,-20
533,-18
534,-10
535,-1
536,16
537,30
538,46
539,52
540,54
541,53
542,54
543,54
544,54
545,54
546,55
547,49
548,44
549,42
550,36
551,35
552,35
553,29
554,28
555,24
556,21
557,12
558,7
559,-4
560,-12
561,-20
562,-36
563,-40
564,-49
565,-54
566,-47
567,-52
568,-49
569,-56
570,-55
571,-62
572,-63
573,-62
574,-55
575,-51
576,-45
577,-35
578,-31
579,-28
580,-26
581,-25
582,-22
583,-26
584,-30
585,-34
586,-37
587,-36
588,-36
589,-39
590,-40
591,-36
592,-24
593,-21
594,-21
595,-21
596,-26
597,-30
598,-27
599,-23
600,-25
601,-27
602,-18
603,-25
604,-29
605,-36
606,-35
607,-37
608,-34
609,-35
610,-39
611,-34
612,-35
613,-38
614,-30
615,-27
616,-12
617,-8
618,0
619,0
620,-2
621,-5
622,0
623,0
624,-1
625,-1
626,-10
627,-13
628,-16
629,-22
630,-30
631,-37
632,-50
633,-55
634,-55
635,-54
636,-54
637,-53
638,-43
639,-40
640,-39
641,-35
642,-35
643,-30
644,-26
645,-16
646,-17
647,-25
648,-32
649,-37
650,-40
651,-41
652,-34
653,-26
654,-27
655,-24
656,-25
657,-26
658,-23
659,-16
660,-12
661,-7
662,-9
663,-4
664,-3
665,-7
666,-6
667,-13
668,-12
669,-14
670,-4
671,-6
672,-6
673,-12
674,-19
675,-21
676,-16
677,-14
678,-2
679,0
680,4
681,6
682,2
683,-5
684,-7
685,-15
686,-24
687,-31
688,-32
689,-30
690,-27
691,-24
692,-22
693,-27
694,-38
695,-52
696,-70
697,-76
698,-74
699,-76
700,-75
701,-77
702,-79
703,-85
704,-94
705,-107
706,-115
707,-115
708,-105
709,-90
710,-74
711,-51
712,-36
713,-18
714,-7
715,-1
716,-8
717,-54
718,-98
719,-136
720,-147
721,-150
722,-133
723,-113
724,-76
725,-32
726,-1
727,23
728,35
729,46
730,58
731,63
732,67
733,71
734,74
735,74
736,75
737,68
738,66
739,65
740,65
741,53
742,40
743,27
744,11
745,12
746,10
747,13
748,0
749,-11
750,-11
751,-11
752,-8
753,-6
754,-5
755,-1
756,-5
757,-10
758,-23
759,-33
760,-45
761,-49
762,-59
763,-68
764,-80
765,-97
766,-115
767,-142
768,-169
769,-189
770,-199
771,-190
772,-173
773,-149
774,-131
775,-107
776,-90
777,-76
778,-75
779,-74
780,-73
781,-71
782,-65
783,-57
784,-43
785,-31
786,-23
787,-17
788,-21
789,-24
790,-35
791,-40
792,-45
793,-46
794,-50
795,-45
796,-41
797,-25
798,-25
799,-9
800,-14
801,-17
802,-13
803,-22
804,-6
805,2
806,10
807,26
808,25
809,32
810,33
811,29
812,32
813,32
814,41
815,46
816,49
817,47
818,41
819,36
820,35
821,27
822,21
823,12
824,0
825,-3
826,-2
827,1
828,-10
829,-29
830,-54
831,-63
832,-60
833,-56
834,-64
835,-72
836,-82
837,-96
838,-112
839,-136
840,-166
841,-200
842,-236
843,-264
844,-273
845,-262
846,-238
847,-204
848,-171
849,-143
850,-119
