,119
0,125
1,129
2,134
3,134
4,133
5,128
6,127
7,115
8,109
9,96
10,81
11,68
12,68
13,78
14,109
15,184
16,292
17,367
18,358
19,240
20,131
21,11
22,-82
23,-180
24,-263
25,-289
26,-278
27,-278
28,-253
29,-222
30,-183
31,-145
32,-116
33,-96
34,-84
35,-86
36,-102
37,-119
38,-138
39,-154
40,-169
41,-185
42,-203
43,-228
44,-244
45,-262
46,-274
47,-285
48,-288
49,-286
50,-283
51,-276
52,-271
53,-263
54,-254
55,-237
56,-224
57,-213
58,-202
59,-197
60,-189
61,-183
62,-170
63,-155
64,-142
65,-135
66,-124
67,-67
68,151
69,480
70,754
71,779
72,609
73,388
74,218
75,126
76,72
77,62
78,113
79,140
80,162
81,172
82,171
83,156
84,142
85,141
86,149
87,165
88,177
89,191
90,204
91,214
92,232
93,244
94,256
95,254
96,248
97,240
98,223
99,200
100,182
101,164
102,142
103,128
104,106
105,91
106,93
107,115
108,144
109,184
110,236
111,261
112,252
113,195
114,128
115,62
116,-6
117,-58
118,-105
119,-132
120,-150
121,-157
122,-164
123,-165
124,-159
125,-155
126,-151
127,-157
128,-160
129,-165
130,-170
131,-174
132,-183
133,-197
134,-213
135,-224
136,-237
137,-241
138,-242
139,-241
140,-243
141,-245
142,-242
143,-243
144,-241
145,-239
146,-238
147,-240
148,-239
149,-236
150,-235
151,-230
152,-224
153,-219
154,-214
155,-209
156,-200
157,-195
158,-184
159,-173
160,-160
161,-154
162,-147
163,-142
164,-145
165,-147
166,-143
167,-140
168,-138
169,-135
170,-134
171,-131
172,-125
173,-124
174,-95
175,77
176,373
177,649
178,666
179,452
180,235
181,72
182,27
183,-3
184,4
185,51
186,90
187,96
188,106
189,119
190,133
191,149
192,173
193,207
194,241
195,258
196,272
197,284
198,298
199,308
200,303
201,302
202,287
203,275
204,262
205,252
206,242
207,239
208,239
209,228
210,249
211,258
212,269
213,253
214,200
215,148
216,78
217,8
218,-41
219,-70
220,-80
221,-84
222,-93
223,-102
224,-111
225,-116
226,-121
227,-133
228,-133
229,-137
230,-137
231,-143
232,-150
233,-158
234,-165
235,-161
236,-150
237,-144
238,-134
239,-118
240,-80
241,-4
242,149
243,369
244,566
245,630
246,562
247,323
248,105
249,-54
250,-121
251,-92
252,-32
253,8
254,27
255,20
256,18
257,18
258,10
259,2
260,2
261,1
262,7
263,19
264,26
265,27
266,26
267,27
268,44
269,86
270,151
271,195
272,262
273,293
274,323
275,307
276,247
277,131
278,23
279,-55
280,-75
281,-47
282,-30
283,-26
284,-28
285,-27
286,-13
287,-6
288,-4
289,-33
290,-59
291,-82
292,-100
293,-123
294,-136
295,-150
296,-171
297,-194
298,-216
299,-239
300,-264
301,-285
302,-310
303,-332
304,-352
305,-358
306,-366
307,-369
308,-369
309,-368
310,-366
311,-361
312,-352
313,-348
314,-343
315,-336
316,-330
317,-320
318,-306
319,-288
320,-274
321,-258
322,-241
323,-230
324,-221
325,-160
326,87
327,431
328,696
329,699
330,524
331,334
332,211
333,135
334,35
335,-7
336,12
337,11
338,24
339,56
340,90
341,112
342,124
343,145
344,164
345,170
346,174
347,193
348,201
349,229
350,241
351,257
352,256
353,251
354,246
355,259
356,275
357,281
358,278
359,272
360,270
361,256
362,221
363,150
364,69
365,-6
366,-56
367,-47
368,-8
369,31
370,50
371,59
372,60
373,52
374,38
375,1
376,-47
377,-100
378,-145
379,-181
380,-191
381,-178
382,-129
383,-59
384,23
385,74
386,92
387,82
388,33
389,-9
390,-99
391,-173
392,-229
393,-264
394,-261
395,-234
396,-203
397,-175
398,-150
399,-136
400,-127
401,-117
402,-108
403,-102
404,-104
405,-110
406,-125
407,-149
408,-173
409,-197
410,-215
411,-230
412,-231
413,-229
414,-221
415,-216
416,-213
417,-213
418,-215
419,-213
420,-217
421,-222
422,-230
423,-234
424,-239
425,-240
426,-238
427,-239
428,-242
429,-240
430,-238
431,-237
432,-242
433,-241
434,-173
435,103
436,467
437,739
438,719
439,515
440,330
441,212
442,132
443,28
444,-18
445,7
446,28
447,47
448,49
449,58
450,71
451,98
452,129
453,157
454,179
455,188
456,212
457,221
458,241
459,238
460,237
461,232
462,232
463,246
464,265
465,267
466,273
467,245
468,253
469,241
470,216
471,160
472,47
473,-41
474,-77
475,-37
476,31
477,57
478,85
479,75
480,52
481,19
482,-34
483,-86
484,-125
485,-157
486,-171
487,-170
488,-168
489,-165
490,-164
491,-172
492,-177
493,-181
494,-150
495,-81
496,32
497,167
498,281
499,330
500,285
501,109
502,-94
503,-251
504,-335
505,-318
506,-266
507,-222
508,-176
509,-125
510,-81
511,-53
512,-32
513,-9
514,10
515,23
516,28
517,22
518,14
519,6
520,2
521,-7
522,-18
523,-33
524,-43
525,-57
526,-63
527,-73
528,-77
529,-90
530,-94
531,-96
532,-99
533,-103
534,-105
535,-111
536,-119
537,-126
538,-137
539,-149
540,-161
541,-172
542,-186
543,-206
544,-229
545,-268
546,-307
547,-329
548,-324
549,-304
550,-285
551,-276
552,-276
553,-285
554,-307
555,-280
556,-81
557,256
558,558
559,618
560,445
561,257
562,117
563,39
564,-36
565,-55
566,-16
567,8
568,13
569,7
570,-7
571,0
572,-2
573,1
574,7
575,8
576,16
577,34
578,67
579,107
580,136
581,153
582,172
583,198
584,230
585,245
586,263
587,248
588,231
589,265
590,261
591,253
592,167
593,70
594,28
595,41
596,106
597,139
598,168
599,156
600,144
601,107
602,46
603,-12
604,-66
605,-116
606,-146
607,-167
608,-173
609,-175
610,-171
611,-171
612,-181
613,-193
614,-206
615,-221
616,-227
617,-232
618,-238
619,-253
620,-270
621,-290
622,-335
623,-356
624,-314
625,-123
626,180
627,487
628,625
629,582
630,447
631,248
632,91
633,-22
634,-70
635,-28
636,3
637,9
638,21
639,17
640,22
641,18
642,11
643,9
644,25
645,45
646,61
647,69
648,83
649,99
650,113
651,130
652,127
653,116
654,88
655,71
656,72
657,79
658,106
659,131
660,171
661,213
662,233
663,219
664,205
665,155
666,117
667,44
668,-20
669,-28
670,-21
671,-20
672,-34
673,-48
674,-72
675,-101
676,-123
677,-137
678,-140
679,-144
680,-155
681,-173
682,-189
683,-206
684,-227
685,-256
686,-298
687,-340
688,-377
689,-390
690,-379
691,-356
692,-338
693,-330
694,-325
695,-326
696,-322
697,-319
698,-315
699,-315
700,-312
701,-304
702,-301
703,-297
704,-296
705,-299
706,-306
707,-332
708,-369
709,-313
710,3
711,405
712,696
713,697
714,526
715,320
716,194
717,91
718,34
719,53
720,112
721,143
722,172
723,163
724,155
725,144
726,138
727,142
728,143
729,138
730,132
731,137
732,149
733,173
734,185
735,208
736,212
737,222
738,242
739,274
740,282
741,291
742,262
743,245
744,252
745,228
746,211
747,151
748,93
749,66
750,63
751,81
752,107
753,121
754,125
755,80
756,29
757,-2
