,176
0,186
1,189
2,198
3,205
4,213
5,223
6,231
7,234
8,236
9,236
10,237
11,235
12,241
13,248
14,253
15,252
16,253
17,251
18,245
19,243
20,238
21,233
22,229
23,227
24,228
25,224
26,226
27,224
28,218
29,211
30,206
31,208
32,208
33,213
34,214
35,208
36,202
37,195
38,192
39,184
40,182
41,176
42,170
43,170
44,167
45,169
46,162
47,159
48,154
49,150
50,145
51,138
52,133
53,128
54,129
55,133
56,131
57,128
58,126
59,119
60,119
61,116
62,113
63,105
64,102
65,99
66,100
67,103
68,103
69,102
70,98
71,96
72,92
73,88
74,88
75,86
76,85
77,82
78,80
79,82
80,83
81,90
82,93
83,96
84,92
85,96
86,88
87,85
88,75
89,66
90,65
91,19
92,-123
93,-533
94,-1153
95,-1095
96,-650
97,118
98,432
99,131
100,-240
101,-416
102,-389
103,-332
104,-328
105,-340
106,-337
107,-324
108,-345
109,-391
110,-430
111,-436
112,-411
113,-385
114,-350
115,-376
116,-381
117,-415
118,-462
119,-526
120,-505
121,-365
122,-176
123,-50
124,-62
125,-151
126,-235
127,-282
128,-306
129,-331
130,-377
131,-461
132,-418
133,-256
134,-19
135,132
136,106
137,0
138,-98
139,-153
140,-186
141,-210
142,-229
143,-246
144,-246
145,-249
146,-251
147,-254
148,-245
149,-230
150,-216
151,-205
152,-201
153,-194
154,-182
155,-170
156,-152
157,-140
158,-124
159,-113
160,-113
161,-103
162,-90
163,-73
164,-55
165,-35
166,-18
167,-3
168,4
169,10
170,24
171,34
172,42
173,52
174,58
175,61
176,64
177,74
178,83
179,92
180,101
181,105
182,110
183,114
184,124
185,126
186,130
187,131
188,137
189,144
190,154
191,165
192,170
193,181
194,184
195,193
196,191
197,193
198,200
199,199
200,200
201,198
202,197
203,197
204,198
205,199
206,200
207,200
208,200
209,202
210,201
211,207
212,208
213,208
214,205
215,207
216,210
217,209
218,211
219,206
220,199
221,195
222,192
223,109
224,-112
225,-636
226,-956
227,-734
228,-103
229,533
230,575
231,219
232,-63
233,-164
234,-129
235,-102
236,-141
237,-182
238,-208
239,-211
240,-232
241,-244
242,-268
243,-272
244,-280
245,-268
246,-272
247,-262
248,-277
249,-293
250,-346
251,-410
252,-340
253,-195
254,15
255,120
256,107
257,48
258,-26
259,-70
260,-116
261,-133
262,-157
263,-213
264,-304
265,-328
266,-237
267,-87
268,80
269,122
270,116
271,67
272,17
273,-34
274,-75
275,-99
276,-125
277,-130
