,74
0,92
1,94
2,99
3,91
4,65
5,42
6,28
7,12
8,6
9,-3
10,-13
11,-17
12,-36
13,-39
14,-54
15,-59
16,-61
17,-53
18,-49
19,-48
20,-52
21,-43
22,-31
23,-5
24,-6
25,-16
26,-29
27,-34
28,-37
29,-36
30,-31
31,-23
32,-11
33,4
34,25
35,33
36,41
37,38
38,44
39,44
40,51
41,54
42,46
43,51
44,61
45,72
46,86
47,77
48,65
49,45
50,30
51,31
52,32
53,27
54,37
55,48
56,55
57,56
58,41
59,33
60,29
61,29
62,42
63,52
64,69
65,94
66,107
67,118
68,131
69,133
70,135
71,120
72,115
73,110
74,107
75,104
76,99
77,99
78,98
79,88
80,71
81,48
82,24
83,0
84,-19
85,-34
86,-45
87,-42
88,-41
89,-37
90,-28
91,-30
92,-33
93,-31
94,-29
95,-19
96,-3
97,16
98,26
99,41
100,29
101,29
102,40
103,44
104,65
105,69
106,73
107,82
108,88
109,93
110,101
111,103
112,109
113,118
114,108
115,98
116,86
117,75
118,65
119,46
120,36
121,26
122,25
123,32
124,29
125,26
126,13
127,-4
128,-4
129,-17
130,-23
131,-32
132,-25
133,-41
134,-57
135,-69
136,-70
137,-72
138,-85
139,-98
140,-99
141,-89
142,-72
143,-57
144,-42
145,-30
146,-17
147,-15
148,-11
149,5
150,13
151,28
152,37
153,57
154,71
155,74
156,66
157,53
158,56
159,73
160,93
161,109
162,110
163,114
164,111
165,96
166,88
167,81
168,84
169,94
170,101
171,113
172,117
173,117
174,110
175,98
176,94
177,92
178,89
179,79
180,71
181,62
182,47
183,48
184,43
185,36
186,30
187,21
188,22
189,18
190,30
191,54
192,82
193,84
194,77
195,69
196,66
197,77
198,87
199,86
200,85
201,71
202,73
203,85
204,93
205,108
206,90
207,70
208,42
209,17
210,15
211,0
212,-16
213,-45
214,-76
215,-83
216,-69
217,-48
218,-29
219,-28
220,-24
221,-19
222,-4
223,5
224,7
225,32
226,43
227,36
228,24
229,24
230,22
231,34
232,24
233,18
234,9
235,3
236,7
237,23
238,41
239,65
240,90
241,121
242,145
243,173
244,182
245,180
246,159
247,141
248,136
249,139
250,147
251,142
252,128
253,107
254,98
255,80
256,76
257,66
258,45
259,20
260,-2
261,-29
262,-52
263,-96
264,-122
265,-129
266,-127
267,-104
268,-87
269,-93
270,-103
271,-113
272,-134
273,-139
274,-164
275,-172
276,-163
277,-139
278,-122
279,-99
280,-91
281,-70
282,-49
283,-31
284,2
285,23
286,57
287,65
288,73
289,61
290,39
291,37
292,37
293,58
294,68
295,73
296,54
297,40
298,24
299,13
300,10
301,3
302,8
303,3
304,8
305,17
306,21
307,30
308,35
309,36
310,44
311,38
312,45
313,44
314,33
315,23
316,5
317,-3
318,-15
319,-17
320,-24
321,-21
322,-22
323,-3
324,-4
325,5
326,-2
327,-1
328,-3
329,-7
330,9
331,23
332,35
333,38
334,39
335,31
336,32
337,30
338,5
339,-12
340,-23
341,-11
342,-1
343,13
344,22
345,28
346,41
347,50
348,64
349,76
350,76
351,80
352,71
353,58
354,41
355,25
356,20
357,24
358,47
359,82
360,108
361,137
362,144
363,146
364,133
365,132
366,143
367,151
368,171
369,161
370,154
371,145
372,132
373,122
374,119
375,113
376,108
377,98
378,87
379,82
380,76
381,76
382,75
383,74
384,62
385,55
386,48
387,36
388,33
389,31
390,29
391,32
392,33
393,37
394,36
395,29
396,30
397,19
398,21
399,16
400,17
401,21
402,28
403,35
404,46
405,41
406,44
407,52
408,53
409,58
410,48
411,34
412,25
413,19
414,20
415,28
416,23
417,19
418,29
419,36
420,45
421,40
422,39
423,42
424,40
425,38
426,41
427,51
428,48
429,38
430,24
431,22
432,21
433,21
434,23
435,22
436,34
437,30
438,35
439,31
440,30
441,31
442,24
443,15
444,5
445,-1
446,-18
447,-33
448,-40
449,-44
450,-45
451,-52
452,-54
453,-46
454,-32
455,-19
456,-36
457,-52
458,-72
459,-78
460,-85
461,-90
462,-95
463,-92
464,-86
465,-91
466,-82
467,-78
468,-81
469,-77
470,-73
471,-63
472,-46
473,-37
474,-33
475,-19
476,-6
477,5
478,15
479,16
480,11
481,7
482,5
483,3
484,9
485,22
486,39
487,47
488,54
489,59
490,85
491,106
492,119
493,109
494,87
495,68
496,57
497,47
498,31
499,31
500,36
501,32
502,18
503,-8
504,-24
505,-32
506,-46
507,-53
508,-60
509,-43
510,-26
511,-3
512,7
513,20
514,24
515,22
516,15
517,12
518,5
519,1
520,-12
521,-5
522,-7
523,-14
524,-20
525,-19
526,-10
527,-2
528,7
529,17
530,29
531,31
532,28
533,19
534,13
535,8
536,9
537,-12
538,-13
539,-20
540,-28
541,-22
542,-12
543,13
544,23
545,33
546,35
547,42
548,55
549,69
550,83
551,88
552,93
553,88
554,81
555,62
556,47
557,35
558,23
559,21
560,17
561,22
562,19
563,11
564,-6
565,-18
566,-13
567,-12
568,-11
569,-16
570,-18
571,-8
572,-16
573,-7
574,6
575,17
576,28
577,25
578,12
579,13
580,17
581,28
582,36
583,36
584,41
585,57
586,77
587,87
588,100
589,106
590,101
591,104
592,98
593,97
594,105
595,104
596,96
597,92
598,84
599,81
600,69
601,78
602,74
603,75
604,67
605,56
606,44
