,62
0,49
1,14
2,-14
3,-14
4,-11
5,-2
6,-16
7,-34
8,-57
9,-56
10,-23
11,16
12,41
13,44
14,47
15,38
16,39
17,42
18,36
19,20
20,6
21,-2
22,-18
23,-27
24,-27
25,-18
26,-7
27,-6
28,-11
29,-24
30,-19
31,10
32,43
33,63
34,71
35,56
36,34
37,20
38,20
39,25
40,29
41,40
42,36
43,34
44,27
45,26
46,33
47,36
48,57
49,70
50,72
51,52
52,21
53,-15
54,-39
55,-30
56,-21
57,-13
58,-5
59,2
60,12
61,23
62,37
63,38
64,38
65,27
66,19
67,4
68,-1
69,-15
70,-25
71,-45
72,-58
73,-55
74,-33
75,-3
76,38
77,72
78,78
79,47
80,2
81,-34
82,-56
83,-53
84,-48
85,-46
86,-55
87,-55
88,-39
89,-18
90,13
91,28
92,23
93,-12
94,-44
95,-65
96,-70
97,-66
98,-56
99,-51
100,-40
101,-11
102,27
103,62
104,82
105,79
106,55
107,30
108,11
109,-5
110,-25
111,-33
112,-20
113,7
114,31
115,51
116,49
117,37
118,27
119,29
120,34
121,32
122,20
123,-3
124,-31
125,-45
126,-43
127,-36
128,-23
129,5
130,26
131,39
132,38
133,36
134,28
135,30
136,34
137,28
138,11
139,-7
140,-9
141,-11
142,-2
143,3
144,0
145,-8
146,-9
147,4
148,6
149,12
150,21
151,25
152,24
153,20
154,18
155,-15
156,-46
157,-66
158,-61
159,-46
160,-14
161,7
162,13
163,27
164,49
165,73
166,77
167,74
168,61
169,50
170,50
171,55
172,51
173,43
174,47
175,50
176,52
177,51
178,55
179,56
180,45
181,42
182,37
183,41
184,43
185,39
186,15
187,-8
188,-24
189,-27
190,-28
191,-32
192,-32
193,-31
194,-20
195,9
196,35
197,57
198,69
199,65
200,43
201,16
202,3
203,5
204,8
205,6
206,2
207,-4
208,11
209,32
210,43
211,45
212,50
213,60
214,46
215,27
216,5
217,-18
218,-36
219,-42
220,-35
221,-29
222,-20
223,-11
224,4
225,14
226,21
227,19
228,2
229,-16
230,-33
231,-43
232,-58
233,-47
234,-27
235,1
236,21
237,32
238,29
239,15
240,18
241,20
242,31
243,31
244,31
245,22
246,7
247,-4
248,-26
249,-51
250,-65
251,-61
252,-44
253,-25
254,-8
255,-4
256,-3
257,2
258,19
259,21
260,23
261,15
262,-3
263,-18
264,-29
265,-20
266,-16
267,-19
268,-28
269,-31
270,-18
271,6
272,29
273,27
274,16
275,-1
276,-21
277,-30
278,-35
279,-33
280,-41
281,-37
282,-26
283,-3
284,16
285,35
286,46
287,36
288,25
289,20
290,21
291,25
292,22
293,-3
294,-38
295,-73
296,-86
297,-77
298,-57
299,-28
300,-10
301,-5
302,-4
303,10
304,23
305,34
306,40
307,26
308,-5
309,-39
310,-51
311,-44
312,-28
313,-11
314,-15
315,-21
316,-20
317,6
318,37
319,62
320,63
321,26
322,-21
323,-58
324,-61
325,-42
326,-12
327,24
328,36
329,31
330,22
331,21
332,21
333,14
334,-10
335,-35
336,-54
337,-53
338,-46
339,-56
340,-61
341,-56
342,-36
343,-4
344,37
345,75
346,88
347,85
348,74
349,61
350,51
351,44
352,34
353,13
354,-7
355,-11
356,4
357,32
358,65
359,72
360,59
361,43
362,49
363,86
364,113
365,121
366,83
367,20
368,-32
369,-66
370,-88
371,-110
372,-118
373,-113
374,-82
375,-37
376,13
377,43
378,54
379,59
380,50
381,41
382,30
383,31
384,26
385,13
386,-3
387,-23
388,-40
389,-45
390,-50
391,-59
392,-67
393,-68
394,-65
395,-62
396,-52
397,-42
398,-48
399,-57
400,-63
401,-55
402,-40
403,-12
404,20
405,28
406,16
407,-21
408,-50
409,-71
410,-65
411,-46
412,-45
413,-48
414,-58
415,-62
416,-60
417,-51
418,-42
419,-39
420,-27
421,-7
422,4
423,-4
424,-19
425,-35
426,-47
427,-46
428,-52
429,-62
430,-74
431,-69
432,-58
433,-44
434,-31
435,-17
436,-3
437,9
438,26
439,19
440,-1
441,-31
442,-36
443,-30
444,-17
445,-8
446,-13
447,-16
448,-16
449,9
450,43
451,66
452,67
453,35
454,-6
455,-29
456,-17
457,10
458,33
459,41
460,31
461,25
462,30
463,31
464,23
465,15
466,18
467,29
468,36
469,42
470,45
471,46
472,55
473,71
474,81
475,82
476,84
477,85
478,86
479,90
480,92
481,90
482,81
483,79
484,86
485,87
486,84
487,74
488,66
489,57
490,62
491,64
492,55
493,46
494,41
495,36
496,38
497,60
498,76
499,77
500,54
501,23
502,-4
503,-17
504,-5
505,2
506,6
507,9
508,25
509,40
510,52
511,54
512,42
513,33
514,30
515,36
516,25
517,-1
518,-32
519,-64
520,-79
521,-82
522,-61
523,-47
524,-19
525,15
526,45
527,55
528,51
529,35
530,20
531,20
532,29
533,30
534,6
535,-33
536,-48
537,-40
538,9
539,55
540,78
541,62
542,38
543,37
544,54
545,90
546,104
547,87
548,47
549,16
550,-9
551,-28
552,-58
553,-88
554,-111
555,-121
556,-98
557,-58
558,-10
559,30
560,51
561,49
562,26
563,3
564,-14
565,-26
566,-30
567,-26
568,-24
569,-26
570,-30
571,-34
572,-26
573,-8
574,14
575,17
576,13
577,18
578,18
579,6
580,-17
581,-45
582,-77
583,-87
584,-65
585,-22
586,11
587,23
588,10
589,-17
590,-23
591,-5
592,27
593,44
594,39
595,25
596,-2
597,-21
598,-39
599,-52
600,-66
601,-63
602,-42
603,-19
604,13
605,28
606,34
607,19
608,-1
609,-19
610,-38
611,-53
612,-51
613,-47
614,-50
615,-56
616,-74
617,-99
618,-110
619,-94
620,-70
621,-49
622,-32
623,-27
624,-25
625,-27
626,-29
627,-40
628,-56
629,-50
630,-40
631,-30
632,-33
633,-43
634,-56
635,-65
636,-47
637,-17
638,12
639,23
640,16
641,-3
642,-18
643,-14
644,-11
645,-21
646,-40
647,-51
648,-55
649,-36
650,-7
651,10
652,12
653,-4
654,-27
655,-51
656,-66
657,-80
658,-85
659,-96
660,-96
661,-86
662,-88
663,-89
664,-94
665,-99
666,-91
667,-72
668,-51
669,-55
670,-74
671,-98
672,-112
673,-117
674,-102
675,-86
676,-72
677,-54
678,-30
679,-14
680,-14
681,-18
682,-33
683,-48
684,-64
685,-69
686,-70
687,-65
688,-52
689,-46
690,-45
691,-38
692,-28
693,-23
694,-25
695,-23
696,-25
697,-32
698,-36
699,-35
700,-42
701,-54
702,-58
703,-62
704,-69
705,-82
706,-99
707,-112
708,-112
709,-86
710,-55
711,-26
712,-7
713,0
714,-19
715,-34
716,-32
717,-22
718,-7
719,-3
720,11
721,9
722,13
723,4
724,-15
725,-37
726,-39
727,-24
728,-11
729,5
730,16
731,27
732,28
733,39
734,40
735,27
736,12
737,-1
738,0
739,15
740,37
741,55
742,48
743,32
744,24
745,32
746,47
747,74
748,72
749,51
750,22
751,10
752,17
753,24
754,35
755,22
756,5
757,-2
758,16
759,36
760,48
761,49
762,42
763,42
764,53
765,68
766,62
767,46
768,35
769,31
770,35
771,40
772,44
773,37
774,31
775,30
776,30
777,25
778,23
779,22
780,20
781,21
782,30
783,28
784,22
785,22
786,32
787,46
788,59
789,60
790,44
791,16
792,-6
793,-11
794,-16
795,-24
796,-28
797,-24
798,-17
799,12
800,32
801,43
802,52
803,75
804,105
805,115
806,93
807,49
808,7
809,-4
810,11
811,25
812,28
813,33
814,42
815,54
816,62
817,55
818,25
819,-14
820,-27
821,-24
822,4
823,36
824,64
825,59
826,39
827,29
828,28
829,46
830,64
831,75
832,59
833,38
834,23
835,14
836,3
837,-7
838,-12
839,-29
840,-35
841,-30
842,-12
843,7
844,24
845,31
846,26
847,22
848,9
849,-1
850,-15
851,-27
852,-36
853,-46
854,-30
855,5
856,32
857,40
858,14
