,-33
0,-44
1,-45
2,-36
3,-31
4,-31
5,-31
6,-48
7,-51
8,-38
9,-13
10,7
11,31
12,52
13,58
14,50
15,24
16,2
17,-8
18,-5
19,4
20,0
21,-3
22,-7
23,-15
24,-39
25,-47
26,-42
27,-16
28,2
29,5
30,-12
31,-43
32,-45
33,-42
34,-24
35,-11
36,-13
37,-25
38,-44
39,-44
40,-37
41,-28
42,-26
43,-39
44,-63
45,-78
46,-60
47,-33
48,-13
49,-2
50,6
51,-1
52,-1
53,2
54,-6
55,-24
56,-53
57,-71
58,-87
59,-95
60,-95
61,-96
62,-92
63,-81
64,-61
65,-52
66,-34
67,3
68,31
69,32
70,4
71,-36
72,-79
73,-94
74,-83
75,-60
76,-49
77,-44
78,-43
79,-35
80,-20
81,-4
82,4
83,12
84,26
85,42
86,47
87,44
88,36
89,17
90,-15
91,-39
92,-56
93,-58
94,-46
95,-24
96,0
97,14
98,28
99,33
100,35
101,23
102,-3
103,-41
104,-78
105,-89
106,-96
107,-105
108,-103
109,-73
110,-28
111,6
112,25
113,12
114,-3
115,-3
116,13
117,31
118,31
119,29
120,11
121,-16
122,-41
123,-59
124,-67
125,-73
126,-61
127,-32
128,-2
129,17
130,28
131,33
132,17
133,0
134,-25
135,-50
136,-66
137,-68
138,-44
139,-21
140,-8
141,-22
142,-50
143,-74
144,-67
145,-34
146,-5
147,12
148,3
149,-14
150,-44
151,-51
152,-44
153,-38
154,-19
155,10
156,42
157,49
158,40
159,17
160,5
161,3
162,17
163,29
164,27
165,22
166,11
167,5
168,6
169,5
170,7
171,-1
172,15
173,29
174,37
175,32
176,16
177,-1
178,-18
179,-16
180,-32
181,-51
182,-67
183,-60
184,-55
185,-44
186,-38
187,-30
188,-29
189,-17
190,4
191,19
192,30
193,26
194,22
195,8
196,-3
197,-18
198,-43
199,-48
200,-23
201,21
202,55
203,72
204,65
205,27
206,-3
207,-21
208,-18
209,-21
210,-23
211,-40
212,-73
213,-90
214,-81
215,-48
216,-16
217,6
218,17
219,21
220,29
221,42
222,40
223,10
224,-23
225,-53
226,-64
227,-60
228,-54
229,-68
230,-97
231,-105
232,-107
233,-87
234,-51
235,-6
236,32
237,55
238,67
239,70
240,73
241,75
242,75
243,58
244,32
245,8
246,-26
247,-45
248,-49
249,-30
250,-7
251,14
252,25
253,23
254,16
255,15
256,32
257,39
258,44
259,29
260,8
261,-2
262,1
263,11
264,3
265,-1
266,10
267,33
268,53
269,61
270,58
271,31
272,16
273,11
274,16
275,13
276,17
277,23
278,20
279,23
280,18
281,6
282,-18
283,-35
284,-40
285,-37
286,-31
287,-19
288,-3
289,15
290,39
291,37
292,29
293,10
294,6
295,-6
296,-37
297,-61
298,-77
299,-62
300,-21
301,16
302,27
303,9
304,-11
305,-11
306,3
307,31
308,55
309,61
310,61
311,63
312,52
313,36
314,11
315,-5
316,-31
317,-48
318,-58
319,-62
320,-62
321,-61
322,-46
323,-41
324,-26
325,-3
326,6
327,2
328,-12
329,-28
330,-49
331,-62
332,-60
333,-48
334,-38
335,-26
336,-14
337,-7
338,12
339,25
340,47
341,57
342,57
343,38
344,3
345,-30
346,-56
347,-66
348,-67
349,-53
350,-39
351,-31
352,-18
353,16
354,53
355,72
356,65
357,23
358,-9
359,-22
360,-14
361,-18
362,-29
363,-35
364,-26
365,-7
366,15
367,37
368,40
369,30
370,20
371,14
372,24
373,33
374,41
375,28
376,9
377,0
378,-4
379,-6
380,-2
381,7
382,3
383,15
384,33
385,59
386,83
387,88
388,83
389,54
390,23
391,3
392,-20
393,-43
394,-58
395,-80
396,-107
397,-126
398,-124
399,-92
400,-43
401,2
402,27
403,26
404,27
405,51
406,75
407,77
408,63
409,30
410,2
411,-16
412,-27
413,-42
414,-53
415,-39
416,-14
417,20
418,40
419,43
420,24
421,-2
422,-10
423,3
424,17
425,29
426,34
427,27
428,19
429,29
430,45
431,61
432,60
433,56
434,47
435,48
436,57
437,60
438,52
439,38
440,27
441,15
442,13
443,17
444,21
445,12
446,-2
447,-17
448,-34
449,-33
450,-10
451,12
452,32
453,37
454,36
455,27
456,33
457,45
458,53
459,43
460,25
461,31
462,56
463,101
464,144
465,163
466,170
467,171
468,150
469,107
470,66
471,35
472,28
473,29
474,33
475,29
476,16
477,13
478,20
479,25
480,18
481,16
482,13
483,17
484,23
485,27
486,17
487,0
488,-8
489,-4
490,18
491,37
492,47
493,36
494,20
495,18
496,17
497,14
498,9
499,8
500,-1
501,-5
502,-13
503,-34
504,-52
505,-47
506,-21
507,-3
508,-4
509,-23
510,-46
511,-69
512,-76
513,-61
514,-40
515,-9
516,7
517,5
518,-26
519,-61
520,-86
521,-99
522,-82
523,-49
524,-12
525,-5
526,-10
527,-22
528,-41
529,-40
530,-38
531,-41
532,-49
533,-55
534,-42
535,-30
536,-17
537,-32
538,-63
539,-100
540,-100
541,-73
542,-36
543,-11
544,1
545,2
546,4
547,9
548,2
549,-16
550,-35
551,-46
552,-55
553,-74
554,-86
555,-99
556,-95
557,-71
558,-38
559,-24
560,-17
561,-10
562,-3
563,7
564,5
565,-5
566,-34
567,-63
568,-75
569,-73
570,-61
571,-48
572,-40
573,-47
574,-44
575,-29
576,1
577,22
578,25
579,8
580,-30
581,-61
582,-74
583,-71
584,-65
585,-50
586,-30
587,-19
588,-15
589,-14
590,-10
591,2
592,21
593,37
594,27
595,9
596,-10
597,-19
598,-24
599,-18
600,-24
601,-26
602,-19
603,0
604,25
605,25
606,6
607,-30
608,-55
609,-56
610,-26
611,0
612,7
613,3
614,-13
615,-21
616,-17
617,-11
618,-13
619,-28
620,-22
621,-13
622,1
623,10
624,16
625,11
626,1
627,-6
628,-11
629,-16
630,-12
631,-4
632,0
633,-5
634,-4
635,-4
636,-1
637,9
638,23
639,21
640,21
641,23
642,28
643,22
644,19
645,10
646,-6
647,-8
648,-1
649,10
650,15
651,16
652,17
653,10
654,13
655,19
656,23
657,17
658,6
659,-1
660,-9
661,4
662,19
663,31
664,20
665,9
666,-1
667,-3
668,10
669,36
670,57
671,61
672,69
673,60
674,43
675,14
676,-4
677,-26
678,-45
679,-48
680,-43
681,-27
682,-3
683,22
684,38
685,48
686,60
687,71
688,67
689,41
690,8
691,-34
692,-55
693,-52
694,-38
695,-19
696,-5
697,2
698,-2
699,-14
700,-14
701,-6
702,8
703,18
704,27
705,13
706,-3
707,-11
708,-18
709,-24
710,-22
711,-12
712,-12
713,-9
714,0
715,6
716,-4
717,-26
718,-50
719,-72
720,-74
721,-62
722,-47
723,-44
724,-34
725,-23
726,-17
727,-8
728,-1
729,-7
730,-13
731,-6
732,0
733,8
734,9
735,7
736,9
737,9
738,14
739,14
740,12
741,3
742,-16
743,-35
744,-56
745,-56
746,-58
747,-63
748,-73
749,-80
750,-82
751,-72
752,-39
753,-4
754,28
755,42
756,60
757,54
758,45
759,31
760,8
761,-22
762,-46
763,-57
764,-56
765,-33
766,1
767,23
768,21
769,-2
770,-29
771,-47
772,-37
773,-5
774,30
775,39
776,25
777,10
778,-4
779,0
780,10
781,10
782,0
783,-6
784,6
785,21
786,34
787,25
788,11
789,-7
790,0
791,14
792,25
793,30
794,31
795,25
796,17
797,12
798,-9
799,-30
800,-36
801,-9
802,32
803,62
804,72
805,50
806,19
807,-6
808,-11
809,-15
810,-13
811,-3
812,13
813,17
814,16
815,18
816,18
817,16
818,18
819,8
820,-6
821,-18
822,-14
823,-3
824,17
825,41
826,49
827,37
828,13
829,5
830,3
831,7
832,8
833,-5
834,-25
835,-37
836,-28
837,-27
838,-21
839,-8
840,21
841,54
842,80
843,73
844,30
845,-14
846,-37
847,-29
848,-2
849,20
850,26
851,6
852,5
853,11
854,18
855,17
856,25
857,23
858,18
859,13
860,3
861,-5
862,-25
863,-31
864,-29
865,-14
866,-2
867,4
868,-3
869,-15
870,-14
871,-13
872,-14
873,-20
874,-13
875,-10
876,-7
877,-2
878,-3
879,9
880,16
881,30
882,30
883,35
884,35
885,15
886,-19
887,-54
888,-75
889,-81
890,-72
891,-50
892,-25
893,-10
894,8
895,25
896,27
897,28
898,20
899,7
900,-7
901,-12
902,-10
903,-17
904,-24
905,-28
906,-31
907,-29
908,-22
909,-16
910,-21
911,-18
912,-4
913,15
914,26
915,33
916,22
917,1
918,-14
919,-24
920,-36
921,-52
922,-51
923,-52
924,-62
925,-89
926,-119
927,-123
928,-93
929,-28
930,19
931,25
932,-3
933,-40
934,-59
935,-43
936,-6
937,15
938,9
939,-15
940,-30
941,-26
942,-21
943,-11
944,-6
945,3
946,9
947,24
948,19
949,16
950,16
951,24
952,27
953,9
954,-10
955,-41
956,-49
957,-39
958,-24
959,-22
960,-22
961,-16
962,-1
963,39
964,80
965,106
966,99
967,76
968,38
969,-14
970,-54
971,-65
972,-42
973,-6
974,25
975,52
976,61
977,66
978,66
979,64
980,58
981,64
982,63
983,46
984,17
985,-11
986,-31
987,-41
988,-38
989,-42
990,-36
991,-8
992,32
993,66
994,82
995,94
996,95
997,85
998,51
999,18
1000,-25
1001,-64
1002,-67
1003,-55
1004,-33
1005,-12
1006,4
1007,16
1008,31
1009,68
1010,103
1011,122
1012,109
1013,74
1014,31
1015,12
1016,7
1017,3
1018,-2
1019,0
1020,6
1021,-6
1022,-13
1023,-25
1024,-31
1025,-30
1026,-23
1027,-1
1028,-4
1029,-8
1030,-21
1031,-35
1032,-44
1033,-38
1034,-19
1035,-2
1036,17
1037,33
1038,38
1039,31
1040,26
1041,18
1042,-3
1043,-31
1044,-57
1045,-72
1046,-72
1047,-55
1048,-40
1049,-37
1050,-35
1051,-28
1052,-8
1053,10
1054,37
1055,43
1056,34
1057,34
1058,47
1059,59
1060,50
1061,22
1062,-13
1063,-39
1064,-43
1065,-32
1066,-19
1067,-14
1068,-19
1069,-24
1070,-28
1071,-17
1072,4
1073,7
1074,8
1075,13
1076,18
1077,27
1078,29
1079,27
1080,7
1081,-9
1082,-9
1083,9
1084,30
1085,46
1086,54
1087,46
1088,42
1089,34
1090,5
1091,-40
1092,-86
1093,-109
1094,-108
1095,-83
1096,-59
1097,-47
1098,-56
1099,-62
1100,-54
1101,-35
1102,4
1103,49
1104,79
1105,85
1106,89
1107,96
1108,96
1109,92
1110,91
1111,86
1112,71
1113,52
1114,7
1115,-38
1116,-69
1117,-68
1118,-36
1119,18
1120,76
1121,101
1122,94
1123,51
1124,4
1125,-38
1126,-62
1127,-65
1128,-69
1129,-72
1130,-59
1131,-20
1132,22
1133,43
1134,39
1135,6
1136,-29
1137,-43
1138,-36
1139,-33
1140,-32
1141,-35
1142,-47
1143,-59
1144,-77
1145,-73
1146,-74
1147,-60
1148,-41
1149,-22
1150,-14
1151,-9
1152,-4
1153,3
1154,12
1155,5
1156,-25
1157,-73
1158,-109
1159,-109
1160,-93
1161,-51
1162,-16
1163,4
1164,-4
1165,-29
1166,-52
1167,-71
1168,-62
1169,-50
1170,-36
1171,-43
1172,-53
1173,-75
1174,-90
1175,-94
1176,-83
1177,-64
1178,-53
1179,-36
1180,-22
1181,-5
1182,7
1183,22
1184,19
1185,3
1186,-2
1187,-2
1188,1
1189,-8
1190,-25
1191,-57
1192,-82
1193,-75
1194,-47
1195,2
1196,39
1197,58
1198,36
1199,4
1200,-16
1201,-25
1202,-33
1203,-44
1204,-42
1205,-42
1206,-21
1207,0
1208,16
1209,20
1210,25
1211,31
1212,27
1213,29
1214,31
1215,33
1216,31
1217,26
1218,11
1219,-8
1220,-20
1221,-11
1222,14
1223,29
1224,29
1225,27
1226,22
1227,30
1228,38
1229,39
1230,17
1231,-8
1232,-31
1233,-46
1234,-52
1235,-55
1236,-55
1237,-49
1238,-20
1239,3
1240,21
1241,10
1242,-3
1243,-14
1244,-21
1245,-8
1246,-8
1247,-10
1248,-19
1249,-18
1250,-7
1251,3
1252,19
1253,12
1254,0
1255,-7
1256,5
1257,30
1258,51
1259,61
1260,51
1261,28
1262,4
1263,-17
1264,-36
1265,-39
1266,-19
1267,10
1268,34
1269,36
1270,31
1271,17
1272,21
1273,41
1274,54
1275,40
1276,20
1277,1
1278,-13
1279,-14
1280,-2
1281,11
1282,20
